,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
162,2016,2016/P03,2016/W11,Inter7City,Peak,64189,3403325
163,2016,2016/P03,2016/W11,Scenic,Peak,22285,665554
164,2016,2016/P03,2016/W11,West Suburban,Peak,293450,3619642
165,2016,2016/P03,2016/W12,East Suburban,Commuter,54004,918604
166,2016,2016/P03,2016/W12,eXpress,Commuter,24031,673303
167,2016,2016/P03,2016/W12,Inter7City,Commuter,24231,649164
168,2016,2016/P03,2016/W12,Scenic,Commuter,8370,155347
169,2016,2016/P03,2016/W12,West Suburban,Commuter,254910,2794703
170,2016,2016/P03,2016/W12,East Suburban,Off-Peak,76069,1541360
171,2016,2016/P03,2016/W12,eXpress,Off-Peak,49299,1867666
172,2016,2016/P03,2016/W12,Inter7City,Off-Peak,87160,5784538
173,2016,2016/P03,2016/W12,Scenic,Off-Peak,34844,1469587
174,2016,2016/P03,2016/W12,West Suburban,Off-Peak,492509,5335064
175,2016,2016/P03,2016/W12,East Suburban,Peak,66119,1262982
176,2016,2016/P03,2016/W12,eXpress,Peak,27830,950403
177,2016,2016/P03,2016/W12,Inter7City,Peak,60097,3082359
178,2016,2016/P03,2016/W12,Scenic,Peak,21505,694034
179,2016,2016/P03,2016/W12,West Suburban,Peak,265855,3431360
180,2016,2016/P03,2016/W13,East Suburban,Commuter,42749,731371
181,2016,2016/P03,2016/W13,eXpress,Commuter,19878,574170
182,2016,2016/P03,2016/W13,Inter7City,Commuter,18522,491949
183,2016,2016/P03,2016/W13,Scenic,Commuter,6863,129301
184,2016,2016/P03,2016/W13,West Suburban,Commuter,216493,2370073
185,2016,2016/P03,2016/W13,East Suburban,Off-Peak,47588,944577
186,2016,2016/P03,2016/W13,eXpress,Off-Peak,28158,1068920
187,2016,2016/P03,2016/W13,Inter7City,Off-Peak,54231,3601828
188,2016,2016/P03,2016/W13,Scenic,Off-Peak,21614,926004
189,2016,2016/P03,2016/W13,West Suburban,Off-Peak,300624,3162122
190,2016,2016/P03,2016/W13,East Suburban,Peak,43823,839224
191,2016,2016/P03,2016/W13,eXpress,Peak,19169,659710
192,2016,2016/P03,2016/W13,Inter7City,Peak,41908,2227315
193,2016,2016/P03,2016/W13,Scenic,Peak,14131,494816
194,2016,2016/P03,2016/W13,West Suburban,Peak,187650,2385503
195,2016,2016/P04,2016/W14,East Suburban,Commuter,72427,1233571
196,2016,2016/P04,2016/W14,eXpress,Commuter,31801,925124
197,2016,2016/P04,2016/W14,Inter7City,Commuter,28656,764197
198,2016,2016/P04,2016/W14,Scenic,Commuter,11103,199109
199,2016,2016/P04,2016/W14,West Suburban,Commuter,331427,3623680
200,2016,2016/P04,2016/W14,East Suburban,Off-Peak,115328,2318666
201,2016,2016/P04,2016/W14,eXpress,Off-Peak,66258,2446571
202,2016,2016/P04,2016/W14,Inter7City,Off-Peak,127426,7938489
203,2016,2016/P04,2016/W14,Scenic,Off-Peak,54780,2225541
204,2016,2016/P04,2016/W14,West Suburban,Off-Peak,678043,7471391
205,2016,2016/P04,2016/W14,East Suburban,Peak,78926,1493174
206,2016,2016/P04,2016/W14,eXpress,Peak,31790,1079379
207,2016,2016/P04,2016/W14,Inter7City,Peak,72724,3797825
208,2016,2016/P04,2016/W14,Scenic,Peak,28443,989464
209,2016,2016/P04,2016/W14,West Suburban,Peak,314192,4036196
210,2016,2016/P04,2016/W15,East Suburban,Commuter,67797,1143494
211,2016,2016/P04,2016/W15,eXpress,Commuter,28038,812284
212,2016,2016/P04,2016/W15,Inter7City,Commuter,25578,687107
213,2016,2016/P04,2016/W15,Scenic,Commuter,9825,180895
214,2016,2016/P04,2016/W15,West Suburban,Commuter,285742,3147922
215,2016,2016/P04,2016/W15,East Suburban,Off-Peak,71275,1449040
216,2016,2016/P04,2016/W15,eXpress,Off-Peak,46896,1728222
217,2016,2016/P04,2016/W15,Inter7City,Off-Peak,84081,5506695
218,2016,2016/P04,2016/W15,Scenic,Off-Peak,33377,1371192
219,2016,2016/P04,2016/W15,West Suburban,Off-Peak,505893,5664021
220,2016,2016/P04,2016/W15,East Suburban,Peak,63443,1181530
221,2016,2016/P04,2016/W15,eXpress,Peak,26163,909465
222,2016,2016/P04,2016/W15,Inter7City,Peak,56617,2995442
223,2016,2016/P04,2016/W15,Scenic,Peak,21147,693792
224,2016,2016/P04,2016/W15,West Suburban,Peak,240311,3118690
