,dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iso_country_dest,iata_code_dest,distance_miles,CO2_emissions,CO2_emissions_per_passenger
15,2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18 00:00:00,,False,NZD,30400.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
16,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,True,GBP,5600.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
16,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,True,GBP,5600.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
17,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,True,GBP,5600.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
17,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,True,GBP,5600.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
18,2019-06-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2019-09-21 00:00:00,,False,CNY,230200.0,CENTI,-32302,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
18,2019-06-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2019-09-21 00:00:00,,False,CNY,230200.0,CENTI,-32302,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
19,2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2021-07-05 00:00:00,2021-09-05 00:00:00,False,GBP,17900.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
19,2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2021-07-05 00:00:00,2021-09-05 00:00:00,False,GBP,17900.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
20,2019-06-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2019-10-05 00:00:00,2019-12-05 00:00:00,False,GBP,19600.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
20,2019-06-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2019-10-05 00:00:00,2019-12-05 00:00:00,False,GBP,19600.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
21,2019-06-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2019-10-05 00:00:00,2019-12-05 00:00:00,False,GBP,19600.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
21,2019-06-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2019-10-05 00:00:00,2019-12-05 00:00:00,False,GBP,19600.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
22,2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2021-05-14 00:00:00,,False,KRW,9870000.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
22,2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2021-05-14 00:00:00,,False,KRW,9870000.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
23,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,mutli_city,2022-06-23 00:00:00,2022-06-29 00:00:00,True,GBP,6900.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
23,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,mutli_city,2022-06-23 00:00:00,2022-06-29 00:00:00,True,GBP,6900.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
24,2019-06-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2019-11-05 00:00:00,2019-12-05 00:00:00,False,GBP,15000.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
24,2019-06-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2019-11-05 00:00:00,2019-12-05 00:00:00,False,GBP,15000.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
25,2019-06-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2019-11-05 00:00:00,2019-12-05 00:00:00,False,GBP,15000.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
25,2019-06-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2019-11-05 00:00:00,2019-12-05 00:00:00,False,GBP,15000.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
26,2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-06-13 00:00:00,2022-06-17 00:00:00,True,GBP,12000.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3912.0179179655493,21.14604279981378
26,2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-06-13 00:00:00,2022-06-17 00:00:00,True,GBP,12000.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,3679.94905842522,25.91513421426211
