dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iso_country_dest,iata_code_dest,distance_miles
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-05-08,2022-07-08,TRUE,GBP,18800.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-13,2022-05-14,TRUE,GBP,8400.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-13,2022-05-14,TRUE,GBP,8400.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-14,2022-05-14,TRUE,GBP,8300.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-14,2022-05-14,TRUE,GBP,8300.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2021-03-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2021-05-25,2021-05-28,TRUE,GBP,15200.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-06-28,2022-06-29,TRUE,GBP,14200.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-06-28,2022-06-29,TRUE,GBP,14200.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2021-03-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2021-07-21,2021-07-25,TRUE,GBP,16000.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-05-29,2022-01-06,TRUE,GBP,15200.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-08-07,2022-11-07,TRUE,GBP,8000.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-05-29,2022-01-06,TRUE,GBP,23700.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,SOF,EDI,SOF-EDI,2.0,0.0,ECONOMY,return,2022-05-22,2022-05-29,TRUE,AUD,31700.0,CENTI,-31915,REDIRECT,42.69669342041016,23.411436080932617,BG,SOF,55.950145,-3.372288,GB,EDI,1498.4333769991965
2022-02-05,IOS,SVQ,EDI,SVQ-EDI,1.0,0.0,ECONOMY,oneway,2022-05-20,,TRUE,GBP,11300.0,CENTI,-31685,REDIRECT,37.417999,-5.89311,ES,SVQ,55.950145,-3.372288,GB,EDI,1285.798483535503
2022-02-05,IOS,SVQ,EDI,SVQ-EDI,1.0,0.0,ECONOMY,oneway,2022-05-20,,TRUE,GBP,11200.0,CENTI,-31685,REDIRECT,37.417999,-5.89311,ES,SVQ,55.950145,-3.372288,GB,EDI,1285.798483535503
2022-02-05,IOS,PMI,EDI,PMI-EDI,1.0,0.0,ECONOMY,oneway,2022-06-20,,TRUE,GBP,7000.0,CENTI,-31915,REDIRECT,39.551701,2.73881,ES,PMI,55.950145,-3.372288,GB,EDI,1166.9332499566367
2022-02-05,IOS,PMI,EDI,PMI-EDI,1.0,0.0,ECONOMY,oneway,2022-06-20,,TRUE,GBP,7000.0,CENTI,-31915,DIRECT_BOOKING,39.551701,2.73881,ES,PMI,55.950145,-3.372288,GB,EDI,1166.9332499566367
2020-04-05,IOS,PMI,EDI,PMI-EDI,1.0,0.0,ECONOMY,oneway,2020-07-09,,TRUE,GBP,5100.0,CENTI,-31915,REDIRECT,39.551701,2.73881,ES,PMI,55.950145,-3.372288,GB,EDI,1166.9332499566367
2022-02-05,IOS,PMI,EDI,PMI-EDI,3.0,0.0,ECONOMY,mutli_city,2022-02-05,2022-02-05,TRUE,GBP,52300.0,CENTI,-31915,REDIRECT,39.551701,2.73881,ES,PMI,55.950145,-3.372288,GB,EDI,1166.9332499566367
2022-02-05,IOS,CTA,EDI,CTA-EDI,1.0,0.0,ECONOMY,return,2022-05-25,2022-01-06,TRUE,GBP,14300.0,CENTI,-30823,REDIRECT,37.466801,15.0664,IT,CTA,55.950145,-3.372288,GB,EDI,1536.6941347147224
