,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
54,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,29/05/2022,06/01/2022,GBP,23700,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
55,05/02/2022,SOF,EDI,SOF-EDI,2,0,ECONOMY,return,22/05/2022,29/05/2022,AUD,31700,CENTI,-31915,REDIRECT,Bulgaria,17681.51378,17681.51378,95.57575019
56,05/02/2022,SVQ,EDI,SVQ-EDI,1,0,ECONOMY,oneway,20/05/2022,,GBP,11300,CENTI,-31685,REDIRECT,Spain,15172.42205,,82.01309217
57,05/02/2022,SVQ,EDI,SVQ-EDI,1,0,ECONOMY,oneway,20/05/2022,,GBP,11200,CENTI,-31685,REDIRECT,Spain,15172.42205,,82.01309217
58,05/02/2022,PMI,EDI,PMI-EDI,1,0,ECONOMY,oneway,20/06/2022,,GBP,7000,CENTI,-31915,REDIRECT,Spain,13769.8123,,74.43141784
59,05/02/2022,PMI,EDI,PMI-EDI,1,0,ECONOMY,oneway,20/06/2022,,GBP,7000,CENTI,-31915,DIRECT_BOOKING,Spain,13769.8123,,74.43141784
60,05/04/2020,PMI,EDI,PMI-EDI,1,0,ECONOMY,oneway,09/07/2020,,GBP,5100,CENTI,-31915,REDIRECT,Spain,13769.8123,,74.43141784
61,05/02/2022,PMI,EDI,PMI-EDI,3,0,ECONOMY,mutli_city,05/02/2022,05/02/2022,GBP,52300,CENTI,-31915,REDIRECT,Spain,13769.8123,,74.43141784
62,05/02/2022,CTA,EDI,CTA-EDI,1,0,ECONOMY,return,25/05/2022,06/01/2022,GBP,14300,CENTI,-30823,REDIRECT,Italy,18132.99072,,98.01616608
63,05/02/2022,CTA,EDI,CTA-EDI,1,0,ECONOMY,return,25/05/2022,06/01/2022,GBP,14300,CENTI,-30823,BOOK_WITH_SKYSCANNER,Italy,18132.99072,,98.01616608
64,05/02/2022,MAD,EDI,MAD-EDI,1,0,ECONOMY,oneway,19/05/2022,,GBP,18400,CENTI,-32356,REDIRECT,Spain,12619.83974,,68.21534995
65,05/02/2022,MAD,EDI,MAD-EDI,2,1,ECONOMY,return,17/07/2022,22/07/2022,EUR,57600,CENTI,-31915,REDIRECT,Spain,12619.83974,,68.21534995
66,05/02/2022,BER,EDI,BER-EDI,1,0,ECONOMY,mutli_city,19/05/2022,22/05/2022,EUR,7500,CENTI,-31915,REDIRECT,Germany,8543.845874,,46.18295067
67,05/02/2022,BER,EDI,BER-EDI,1,0,ECONOMY,return,17/10/2022,24/10/2022,EUR,7000,CENTI,-32356,REDIRECT,Germany,8543.845874,,46.18295067
68,05/02/2022,BER,EDI,BER-EDI,1,0,ECONOMY,return,17/10/2022,24/10/2022,EUR,7000,CENTI,-32356,DIRECT_BOOKING,Germany,8543.845874,,46.18295067
